Student_Number;FTEN;Matric_Status_Code;Age_Group;Race;Gender;Home_Language;Employment;Magisterial_District;Region;Class
10000531;F;DEGR;24_25     ;African;F;NORTHERN SOTHO;Unemployed;GIYANI;North Eastern;1
10007266;T;DIPL;29_34     ;African;M;ISIXHOSA;Employed;ALIWAL NORTH;Eastern Cape;1
10013072;F;DIPL;18_19     ;African;M;ISIZULU;Employed;PINETOWN;KwaZulu-Natal;1
10631245;T;DEGR;22_23     ;African;M;ISIZULU;Student;JOHANNESBURG;Gauteng;1
10016486;T;DEGR;26_28     ;African;F;SETSWANA;Employed;PHOKWANI;Midlands;1
11883434;T;DIPL;24_25     ;African;F;ISIZULU;Unemployed;KLIPRIVER;KwaZulu-Natal;1
12133943;T;DEGR;29_34     ;African;F;ISIZULU;Employed;UMLAZI;KwaZulu-Natal;1
10635828;F;DEGR;26_28     ;African;F;XITSONGA;Unemployed;SESHEGO;North Eastern;1
10636484;T;DIPL;22_23     ;African;M;SESOTHO;Employed;MOKERONG;North Eastern;1
10908549;T;DIPL;18_19     ;African;F;SESOTHO;Employed;JOHANNESBURG;Gauteng;1
10027526;F;DIPL;26_28     ;African;F;ISIZULU;Employed;MAHLABATINI;KwaZulu-Natal;1
10038180;T;DIPL;29_34     ;African;F;NORTHERN SOTHO;Unemployed;SESHEGO;North Eastern;1
10911817;T;DEGR;26_28     ;African;F;SISWATI;Unemployed;WITBANK;North Eastern;1
10042959;F;HCER;29_34     ;African;M;SESOTHO;Unemployed;VANDERBIJLPARK;Gauteng;1
10045516;F;DEGR;22_23     ;African;M;ISIZULU;Unemployed;UTRECHT;KwaZulu-Natal;1
10642069;T;SENR;35_40     ;African;M;ISINDEBELE;Employed;PRETORIA;Gauteng;1
12138500;T;DEGR;24_25     ;African;M;NORTHERN SOTHO;Employed;WATERBERG;North Eastern;1
12138546;T;DEGR;24_25     ;African;M;ISIXHOSA;Unemployed;BRAKPAN;Gauteng;1
10917785;T;DIPL;29_34     ;African;M;SESOTHO;Unemployed;BLOEMFONTEIN;Midlands;1
10643626;T;DEGR;22_23     ;African;F;ISINDEBELE;Employed;JOHANNESBURG;Gauteng;1
12141531;F;DEGR;18_19     ;White;M;AFRIKAANS;Employed;BOKSBURG;Gauteng;1
11223787;T;DEGR;26_28     ;African;M;ISIZULU;Employed;JOHANNESBURG;Gauteng;1
10048070;T;ONBK;29_34     ;African;M;NORTHERN SOTHO;Employed;JOHANNESBURG;Gauteng;1
10930660;T;MATR;29_34     ;African;M;ISIZULU;Employed;BOKSBURG;Gauteng;1
10934012;T;DEGR;26_28     ;Indian;M;ENGLISH;Employed;JOHANNESBURG;Gauteng;1
11233057;F;SENR;29_34     ;African;M;ISIZULU;Employed;DURBAN;KwaZulu-Natal;1
12148665;T;DIPL;26_28     ;African;M;NORTHERN SOTHO;Unemployed;SESHEGO;North Eastern;1
12149017;T;DIPL;24_25     ;African;M;ISIZULU;Unemployed;WITBANK;North Eastern;1
11240428;F;DIPL;22_23     ;African;M;NORTHERN SOTHO;Unemployed;PIETERSBURG;North Eastern;1
11240584;T;DEGR;24_25     ;African;F;NORTHERN SOTHO;Employed;MDUTJANA;North Eastern;1
10335247;T;DEGR;24_25     ;African;M;TSHIVENDA;Unemployed;RANDBURG;Gauteng;1
10938448;F;DEGR;22_23     ;African;F;XITSONGA;Unemployed;SOSHANGUWE;Gauteng;1
12152476;T;DEGR;24_25     ;Indian;M;ENGLISH;Employed;JOHANNESBURG;Gauteng;1
10344653;T;DEGR;29_34     ;African;M;ISIZULU;Employed;UMLAZI;KwaZulu-Natal;1
10650390;T;DEGR;22_23     ;African;M;FRENCH;Employed;PRETORIA;Gauteng;1
10651289;T;DIPL;26_28     ;African;F;XITSONGA;Employed;JOHANNESBURG;Gauteng;1
10652741;T;SENR;35_40     ;African;M;ISIXHOSA;Employed;BENONI;Gauteng;1
10653397;F;DEGR;24_25     ;African;M;ENGLISH;Employed;WONDERBOOM;Gauteng;1
12156172;T;KWAL;29_34     ;African;F;XITSONGA;Employed;WONDERBOOM;Gauteng;1
11550915;T;DEGR;20_21     ;African;F;ISIZULU;Employed;SPRINGS;Gauteng;1
11551377;T;DEGR;24_25     ;African;M;SETSWANA;Employed;BLOEMFONTEIN;Midlands;1
11551501;F;DEGR;20_21     ;Indian;M;ENGLISH;Unemployed;ERMELO;North Eastern;1
11552446;T;DEGR;24_25     ;African;F;ISIZULU;Unemployed;JOHANNESBURG;Gauteng;1
10959105;T;SENR;29_34     ;African;F;ISIXHOSA;Employed;DURBAN;KwaZulu-Natal;1
12159888;T;DIPL;26_28     ;African;F;ISIZULU;Employed;ELLIOTDALE;Eastern Cape;1
12160754;F;DIPL;24_25     ;African;F;OTHER AFRICAN LANGUAGES;Unemployed;PIETERSBURG;North Eastern;1
11553957;T;DEGR;26_28     ;African;M;ISIZULU;Employed;PRETORIA;Gauteng;1
11554101;T;DIPL;18_19     ;Indian;M;ENGLISH;Unemployed;PORT SHEPSTONE;KwaZulu-Natal;1
10079585;T;DEGR;22_23     ;Indian;M;ENGLISH;Unemployed;RANDBURG;Gauteng;1
10082144;F;DIPL;24_25     ;African;M;SETSWANA;Unemployed;RANDFONTEIN;Gauteng;1
10354918;T;DEGR;22_23     ;African;M;TSHIVENDA;Employed;THOHOYANDOU;North Eastern;1
10657848;F;DIPL;22_23     ;African;M;XITSONGA;Employed;WONDERBOOM;Gauteng;1
10658302;F;DIPL;26_28     ;African;F;ISINDEBELE;Unemployed;WITBANK;North Eastern;1
10362716;F;DIPL;26_28     ;African;F;NORTHERN SOTHO;Unemployed;PRETORIA;Gauteng;1
11563154;F;HCER;22_23     ;African;M;SESOTHO;Unemployed;PRETORIA;Gauteng;1
10977610;F;DEGR;24_25     ;African;F;NORTHERN SOTHO;Unemployed;LYDENBURG;North Eastern;1
12167155;F;DIPL;29_34     ;African;M;NORTHERN SOTHO;Unemployed;PIETERSBURG;North Eastern;1
11283216;T;DEGR;26_28     ;African;M;NORTHERN SOTHO;Employed;LYDENBURG;North Eastern;1
10663848;T;DEGR;22_23     ;African;F;ISIZULU;Employed;SOSHANGUWE;Gauteng;1
11284123;F;DIPL;18_19     ;African;M;ISIZULU;Unemployed;PIETERMARITZBURG;KwaZulu-Natal;1
11286886;T;DEGR;20_21     ;African;M;ISIXHOSA;Unemployed;MITCHELLS PLAIN;Western Cape;1
12171748;T;DIPL;26_28     ;African;F;ISIZULU;Employed;BRAKPAN;Gauteng;1
12171853;T;MATR;29_34     ;Coloured;M;ENGLISH;Employed;PAARL;Western Cape;1
10667924;T;DIPL;29_34     ;African;M;ENGLISH;Employed;BOKSBURG;Gauteng;1
11572447;F;ONBK;26_28     ;African;M;SISWATI;Employed;NKOMAZI;North Eastern;1
11572455;T;SENR;29_34     ;African;F;NORTHERN SOTHO;Unemployed;NEBO;North Eastern;1
11574865;F;DEGR;20_21     ;Coloured;F;ENGLISH;Unemployed;PORT ELIZABETH;Eastern Cape;1
12173751;T;DIPL;26_28     ;African;M;NORTHERN SOTHO;Employed;PIETERSBURG;North Eastern;1
11298321;T;DEGR;26_28     ;African;F;SETSWANA;Unemployed;MMABATHO;Midlands;1
10672839;T;SENR;29_34     ;African;F;SESOTHO;Employed;RUSTENBURG;Midlands;1
10672979;T;KWAL;35_40     ;African;M;SETSWANA;Employed;WONDERBOOM;Gauteng;1
10381381;T;DEGR;26_28     ;African;F;ISIXHOSA;Employed;UITENHAGE;Eastern Cape;1
12174421;T;MATR;29_34     ;Coloured;F;AFR/ENG;Employed;GOODWOOD;Western Cape;1
12176057;T;DEGR;29_34     ;White;M;ENGLISH;Employed;RANDBURG;Gauteng;1
11298817;T;DEGR;26_28     ;White;F;AFRIKAANS;Employed;MOSSELBAY;Western Cape;1
11303543;T;DEGR;29_34     ;African;M;SESOTHO;Unemployed;JOHANNESBURG;Gauteng;1
11576213;T;DEGR;24_25     ;Indian;M;ENGLISH;Employed;RANDBURG;Gauteng;1
12177390;T;DIPL;26_28     ;African;M;TSHIVENDA;Employed;WONDERBOOM;Gauteng;1
11307654;F;DEGR;22_23     ;African;M;NORTHERN SOTHO;Employed;JOHANNESBURG;Gauteng;1
11307735;F;DIPL;29_34     ;African;M;ISIXHOSA;Unemployed;MITCHELLS PLAIN;Western Cape;1
11583023;T;DIPL;26_28     ;African;F;SETSWANA;Employed;THABAZIMBI;Midlands;1
10993163;T;DIPL;24_25     ;African;M;NORTHERN SOTHO;Employed;SOSHANGUWE;Gauteng;1
12178696;F;DEGR;24_25     ;African;M;SETSWANA;Employed;SOSHANGUWE;Gauteng;1
10391271;T;DEGR;24_25     ;African;M;TSHIVENDA;Employed;SOUTPANSBERG;North Eastern;1
10685372;T;DIPL;26_28     ;African;F;ISIZULU;Employed;PINETOWN;KwaZulu-Natal;1
10685949;F;DEGR;20_21     ;White;F;AFR/ENG;Unemployed;GERMISTON;Gauteng;1
10688867;T;DEGR;24_25     ;Indian;F;ENGLISH;Employed;INANDA;KwaZulu-Natal;1
11589498;T;DEGR;24_25     ;African;F;NORTHERN SOTHO;Unemployed;MDUTJANA;North Eastern;1
12181433;F;DIPL;26_28     ;African;M;SESOTHO;Employed;WELKOM;Midlands;1
12181638;T;DIPL;29_34     ;African;F;NORTHERN SOTHO;Employed;JOHANNESBURG;Gauteng;1
12182351;F;DIPL;20_21     ;African;M;ISIXHOSA;Employed;BENONI;Gauteng;1
11592122;F;DEGR;26_28     ;African;F;ISIZULU;Unemployed;HLABISA;KwaZulu-Natal;1
11592367;F;DEGR;22_23     ;African;M;ISIZULU;Employed;ALBERTON;Gauteng;1
11596656;T;ONBK;26_28     ;African;F;NORTHERN SOTHO;Employed;JOHANNESBURG;Gauteng;1
10692190;T;DEGR;29_34     ;African;M;TSHIVENDA;Employed;KEMPTON PARK;Gauteng;1
10695693;F;DEGR;20_21     ;Indian;M;ENGLISH;Unemployed;RANDBURG;Gauteng;1
11598365;F;DEGR;24_25     ;African;M;ISIZULU;Unemployed;DURBAN;KwaZulu-Natal;1
12186470;F;DEGR;20_21     ;African;F;SESOTHO;Employed;ALBERTON;Gauteng;1
11599795;T;DEGR;29_34     ;African;M;ISIZULU;Employed;UMLAZI;KwaZulu-Natal;1
11332505;F;DEGR;20_21     ;African;M;ENGLISH;Unemployed;BOKSBURG;Gauteng;1
10701413;T;DEGR;24_25     ;African;F;ENGLISH;Unemployed;UMTATA;Eastern Cape;1
10704277;T;MATR;29_34     ;African;M;ISIZULU;Employed;UMLAZI;KwaZulu-Natal;1
11604373;T;DEGR;24_25     ;African;F;XITSONGA;Student;MAPULANENG;North Eastern;1
11605690;T;DEGR;24_25     ;Coloured;M;ENGLISH;Unemployed;ROODEPOORT;Gauteng;1
10399590;F;DIPL;26_28     ;African;F;SISWATI;Unemployed;NKOMAZI;North Eastern;1
12192211;T;DEGR;26_28     ;African;M;ISIZULU;Unemployed;DURBAN;KwaZulu-Natal;1
12192405;T;DIPL;26_28     ;African;F;TSHIVENDA;Unemployed;THOHOYANDOU;North Eastern;1
12193555;F;DIPL;24_25     ;African;M;NORTHERN SOTHO;Unemployed;WONDERBOOM;Gauteng;1
10400402;T;KWAL;35_40     ;African;F;ENGLISH;Employed;Unknown;Unknown;1
10713562;F;DEGR;24_25     ;African;M;ISIZULU;Unemployed;BENONI;Gauteng;1
11028952;F;DEGR;22_23     ;African;F;ISIXHOSA;Unemployed;QUEENSTOWN;Eastern Cape;1
10405229;T;DIPL;22_23     ;African;M;NORTHERN SOTHO;Employed;VANDERBIJLPARK;Gauteng;1
10407372;F;DIPL;22_23     ;African;F;ISIZULU;Employed;LOWER UMFOLOZI;KwaZulu-Natal;1
10408023;T;DEGR;24_25     ;African;F;SESOTHO;Unemployed;BOTSHABELO;Midlands;1
11357050;F;DEGR;20_21     ;White;F;AFR/ENG;Employed;BELLVILLE;Western Cape;1
11608247;T;DEGR;22_23     ;African;M;ISIZULU;Unemployed;NONGOMA;KwaZulu-Natal;1
11609270;T;DEGR;24_25     ;African;F;NORTHERN SOTHO;Employed;ALBERTON;Gauteng;1
10413232;T;KWAL;26_28     ;African;M;ENGLISH;Employed;NEBO;North Eastern;1
11360555;T;MATR;35_40     ;African;F;NORTHERN SOTHO;Employed;KEMPTON PARK;Gauteng;1
11614719;T;DEGR;24_25     ;Coloured;M;AFRIKAANS;Unemployed;CALEDON;Western Cape;1
11366007;F;DIPL;20_21     ;African;M;SETSWANA;Employed;BRITS;Midlands;1
