Matric_Aggregate_Group,FTEN,Matric_Status_Code,Age_Group,Race,Gender,Home_Language,Employment,Magisterial_District,Region,Class
1101_1150,T,DEGR,26_28     ,African,F,SISWATI,Unemployed,WITBANK,North Eastern,1
0901_0950,T,SENR,35_40     ,African,M,ISINDEBELE,Employed,PRETORIA,Gauteng,1
0000_0000,T,DEGR,22_23     ,African,F,ISINDEBELE,Employed,JOHANNESBURG,Gauteng,1
0000_0000,F,DEGR,18_19     ,White,M,AFRIKAANS,Employed,BOKSBURG,Gauteng,1
1051_1100,T,DEGR,26_28     ,African,M,ISIZULU,Employed,JOHANNESBURG,Gauteng,1
0901_0950,T,MATR,29_34     ,African,M,ISIZULU,Employed,BOKSBURG,Gauteng,1
0000_0000,T,DEGR,26_28     ,Indian,M,ENGLISH,Employed,JOHANNESBURG,Gauteng,1
0001_0600,F,SENR,29_34     ,African,M,ISIZULU,Employed,DURBAN,KwaZulu-Natal,1
0901_0950,T,DIPL,24_25     ,African,M,ISIZULU,Unemployed,WITBANK,North Eastern,1
0901_0950,F,DIPL,22_23     ,African,M,NORTHERN SOTHO,Unemployed,PIETERSBURG,North Eastern,1
1101_1150,T,DEGR,24_25     ,African,M,TSHIVENDA,Unemployed,RANDBURG,Gauteng,1
0000_0000,F,DEGR,22_23     ,African,F,XITSONGA,Unemployed,SOSHANGUWE,Gauteng,1
1151_1200,T,DEGR,24_25     ,Indian,M,ENGLISH,Employed,JOHANNESBURG,Gauteng,1
0601_0800,T,DEGR,29_34     ,African,M,ISIZULU,Employed,UMLAZI,KwaZulu-Natal,1
0901_0950,T,DIPL,26_28     ,African,F,XITSONGA,Employed,JOHANNESBURG,Gauteng,1
0601_0800,T,SENR,35_40     ,African,M,ISIXHOSA,Employed,BENONI,Gauteng,1
1101_1150,F,DEGR,24_25     ,African,M,ENGLISH,Employed,WONDERBOOM,Gauteng,1
0000_0000,T,KWAL,29_34     ,African,F,XITSONGA,Employed,WONDERBOOM,Gauteng,1
1151_1200,T,DEGR,24_25     ,African,F,ISIZULU,Unemployed,JOHANNESBURG,Gauteng,1
1001_1050,T,SENR,29_34     ,African,F,ISIXHOSA,Employed,DURBAN,KwaZulu-Natal,1
1051_1100,T,DEGR,26_28     ,African,M,ISIZULU,Employed,PRETORIA,Gauteng,1
1401_3000,T,DEGR,22_23     ,Indian,M,ENGLISH,Unemployed,RANDBURG,Gauteng,1
1101_1150,T,DEGR,22_23     ,African,M,TSHIVENDA,Employed,THOHOYANDOU,North Eastern,1
0901_0950,F,DIPL,22_23     ,African,M,XITSONGA,Employed,WONDERBOOM,Gauteng,1
0000_0000,F,DIPL,26_28     ,African,F,ISINDEBELE,Unemployed,WITBANK,North Eastern,1
1101_1150,F,DIPL,26_28     ,African,F,NORTHERN SOTHO,Unemployed,PRETORIA,Gauteng,1
0000_0000,F,HCER,22_23     ,African,M,SESOTHO,Unemployed,PRETORIA,Gauteng,1
0851_0900,F,DIPL,29_34     ,African,M,NORTHERN SOTHO,Unemployed,PIETERSBURG,North Eastern,1
1301_1400,T,DEGR,22_23     ,African,F,ISIZULU,Employed,SOSHANGUWE,Gauteng,1
0901_0950,F,DIPL,18_19     ,African,M,ISIZULU,Unemployed,PIETERMARITZBURG,KwaZulu-Natal,1
0951_1000,T,DEGR,20_21     ,African,M,ISIXHOSA,Unemployed,MITCHELLS PLAIN,Western Cape,1
1051_1100,T,DIPL,29_34     ,African,M,ENGLISH,Employed,BOKSBURG,Gauteng,1
0000_0000,T,DIPL,26_28     ,African,M,NORTHERN SOTHO,Employed,PIETERSBURG,North Eastern,1
0601_0800,T,SENR,29_34     ,African,F,SESOTHO,Employed,RUSTENBURG,Midlands,1
0000_0000,T,KWAL,35_40     ,African,M,SETSWANA,Employed,WONDERBOOM,Gauteng,1
1301_1400,T,MATR,29_34     ,Coloured,F,AFR/ENG,Employed,GOODWOOD,Western Cape,1
0000_0000,T,DEGR,29_34     ,White,M,ENGLISH,Employed,RANDBURG,Gauteng,1
0601_0800,T,DEGR,29_34     ,African,M,SESOTHO,Unemployed,JOHANNESBURG,Gauteng,1
1301_1400,T,DEGR,24_25     ,Indian,M,ENGLISH,Employed,RANDBURG,Gauteng,1
0000_0000,T,DIPL,26_28     ,African,M,TSHIVENDA,Employed,WONDERBOOM,Gauteng,1
0000_0000,F,DEGR,22_23     ,African,M,NORTHERN SOTHO,Employed,JOHANNESBURG,Gauteng,1
0601_0800,F,DIPL,29_34     ,African,M,ISIXHOSA,Unemployed,MITCHELLS PLAIN,Western Cape,1
1001_1050,T,DIPL,24_25     ,African,M,NORTHERN SOTHO,Employed,SOSHANGUWE,Gauteng,1
0951_1000,F,DEGR,24_25     ,African,M,SETSWANA,Employed,SOSHANGUWE,Gauteng,1
0000_0000,T,DIPL,26_28     ,African,F,ISIZULU,Employed,PINETOWN,KwaZulu-Natal,1
0000_0000,F,DEGR,20_21     ,White,F,AFR/ENG,Unemployed,GERMISTON,Gauteng,1
1051_1100,T,DIPL,29_34     ,African,F,NORTHERN SOTHO,Employed,JOHANNESBURG,Gauteng,1
0901_0950,F,DIPL,20_21     ,African,M,ISIXHOSA,Employed,BENONI,Gauteng,1
1301_1400,F,DEGR,22_23     ,African,M,ISIZULU,Employed,ALBERTON,Gauteng,1
0000_0000,T,DEGR,29_34     ,African,M,TSHIVENDA,Employed,KEMPTON PARK,Gauteng,1
0000_0000,F,DEGR,20_21     ,Indian,M,ENGLISH,Unemployed,RANDBURG,Gauteng,1
0000_0000,F,DEGR,24_25     ,African,M,ISIZULU,Unemployed,DURBAN,KwaZulu-Natal,1
1051_1100,F,DEGR,20_21     ,African,F,SESOTHO,Employed,ALBERTON,Gauteng,1
1201_1300,T,DEGR,29_34     ,African,M,ISIZULU,Employed,UMLAZI,KwaZulu-Natal,1
0000_0000,F,DEGR,20_21     ,African,M,ENGLISH,Unemployed,BOKSBURG,Gauteng,1
1301_1400,T,MATR,29_34     ,African,M,ISIZULU,Employed,UMLAZI,KwaZulu-Natal,1
0000_0000,T,DEGR,24_25     ,Coloured,M,ENGLISH,Unemployed,ROODEPOORT,Gauteng,1
1101_1150,T,DEGR,26_28     ,African,M,ISIZULU,Unemployed,DURBAN,KwaZulu-Natal,1
1001_1050,T,DIPL,26_28     ,African,F,TSHIVENDA,Unemployed,THOHOYANDOU,North Eastern,1
0901_0950,F,DIPL,24_25     ,African,M,NORTHERN SOTHO,Unemployed,WONDERBOOM,Gauteng,1
0000_0000,T,KWAL,35_40     ,African,F,ENGLISH,Employed,Unknown,Unknown,1
0000_0000,F,DEGR,24_25     ,African,M,ISIZULU,Unemployed,BENONI,Gauteng,1
1301_1400,F,DEGR,20_21     ,White,F,AFR/ENG,Employed,BELLVILLE,Western Cape,1
1301_1400,T,DEGR,24_25     ,African,F,NORTHERN SOTHO,Employed,ALBERTON,Gauteng,1
1151_1200,T,MATR,35_40     ,African,F,NORTHERN SOTHO,Employed,KEMPTON PARK,Gauteng,1
