Student_Number,Matric_Aggregate_Group,FTENab,Matric_Status_Code,Age_Group,Race,Gender,Home_Language,Employment,Magisterial_District,Region,Class
10000531,1201_1300,F,DEGR,24_25     ,African,F,NORTHERN SOTHO,Unemployed,GIYANI,North Eastern,1.0
10007266,0000_0000,T,DIPL,29_34     ,African,M,ISIXHOSA,Employed,ALIWAL NORTH,Eastern Cape,1.0
10013072,0000_0000,T,DIPL,18_19     ,African,M,ISIZULU,Employed,PINETOWN,KwaZulu-Natal,1.0
10631245,0000_0000,T,DEGR,22_23     ,African,M,ISIZULU,Student,JOHANNESBURG,Gauteng,1.0
10016486,1101_1150,T,DEGR,26_28     ,African,F,SETSWANA,Employed,PHOKWANI,Midlands,1.0
11883434,1001_1050,T,DIPL,24_25     ,African,F,ISIZULU,Unemployed,KLIPRIVER,KwaZulu-Natal,1.0
12133943,1051_1100,T,DEGR,29_34     ,African,M,ISIZULU,Employed,UMLAZI,KwaZulu-Natal,1.0
10635828,1001_1050,F,DEGR,26_28     ,African,F,ISIZULU,Unemployed,SESHEGO,North Eastern,1.0
10636484,1101_1150,T,DIPL,22_23     ,African,M,SESOTHO,Employed,MOKERONG,North Eastern,1.0
10908549,0000_0000,T,DIPL,18_19     ,African,F,SESOTHO,Employed,JOHANNESBURG,Gauteng,1.0
10027526,0851_0900,F,DIPL,26_28     ,African,F,ISIZULU,Employed,MAHLABATINI,Gauteng,1.0
10038180,0951_1000,T,DIPL,29_34     ,African,F,NORTHERN SOTHO,Unemployed,SESHEGO,North Eastern,0.5079241361392569
10911817,1101_1150,T,DEGR,26_28     ,African,F,SISWATI,Unemployed,WITBANK,North Eastern,1.0
10042959,0000_0000,F,HCER,29_34     ,African,M,SESOTHO,Unemployed,VANDERBIJLPARK,Gauteng,1.0
10045516,1151_1200,F,DEGR,22_23     ,African,M,ISIZULU,Unemployed,UTRECHT,KwaZulu-Natal,1.0
10642069,0901_0950,T,SENR,35_40     ,African,M,ISINDEBELE,Employed,PRETORIA,Gauteng,1.0
12138500,1201_1300,T,DEGR,24_25     ,African,M,NORTHERN SOTHO,Employed,WATERBERG,North Eastern,1.0
12138546,1201_1300,T,DEGR,24_25     ,African,M,ISIXHOSA,Unemployed,BRAKPAN,Gauteng,1.0
10917785,0001_0600,T,DIPL,29_34     ,African,M,SESOTHO,Unemployed,BLOEMFONTEIN,Midlands,1.0
10643626,0000_0000,T,DEGR,22_23     ,African,F,ISINDEBELE,Employed,JOHANNESBURG,Gauteng,1.0
12141531,0000_0000,F,DEGR,18_19     ,White,M,AFRIKAANS,Employed,BOKSBURG,Gauteng,1.0
11223787,1051_1100,T,DEGR,26_28     ,African,M,ISIZULU,Employed,JOHANNESBURG,Gauteng,1.0
10048070,0000_0000,T,ONBK,29_34     ,African,M,NORTHERN SOTHO,Employed,JOHANNESBURG,Gauteng,1.0
10930660,0901_0950,T,MATR,29_34     ,African,M,ISIZULU,Employed,BOKSBURG,Gauteng,1.0
10934012,0000_0000,T,DEGR,26_28     ,Indian,M,ENGLISH,Employed,JOHANNESBURG,Gauteng,1.0
11233057,0001_0600,F,SENR,29_34     ,African,M,ISIZULU,Employed,DURBAN,KwaZulu-Natal,1.0
12148665,0901_0950,T,DIPL,26_28     ,African,M,NORTHERN SOTHO,Unemployed,SESHEGO,North Eastern,1.0
12149017,0901_0950,T,DIPL,24_25     ,African,M,ISIZULU,Unemployed,WITBANK,North Eastern,1.0
