Matric_Aggregate_Group,FTEN,Matric_Status_Code,Age_Group,Race,Gender,Home_Language,Employment,Magisterial_District,Region,Class
11,0,0,4,0,0,10,2,58,4,1
0,1,1,6,0,1,7,0,4,0,1
0,0,1,1,0,1,8,0,166,2,1
0,1,0,3,0,1,8,1,77,1,1
9,1,0,5,0,0,15,0,161,3,1
7,1,1,4,0,0,8,2,85,2,1
8,1,0,6,0,0,8,0,212,2,1
7,0,0,5,0,0,20,2,189,4,1
9,1,1,3,0,1,14,0,123,4,1
0,1,1,1,0,0,14,0,77,1,1
4,0,1,5,0,0,8,0,110,2,1
6,1,1,6,0,0,10,2,189,4,1
9,1,0,5,0,0,17,2,238,4,1
0,0,2,6,0,1,14,2,220,1,1
10,0,0,3,0,1,8,2,218,2,1
5,1,7,7,0,1,6,0,173,1,1
11,1,0,4,0,1,10,0,234,4,1
11,1,0,4,0,1,7,2,23,1,1
1,1,1,6,0,1,14,2,18,3,1
0,1,0,3,0,0,6,0,77,1,1
0,0,0,1,5,1,1,0,19,1,1
8,1,0,5,0,1,8,0,77,1,1
0,1,6,6,0,1,10,0,77,1,1
5,1,4,6,0,1,8,0,19,1,1
0,1,0,5,2,1,2,0,77,1,1
1,0,7,6,0,1,8,0,43,2,1
5,1,1,5,0,1,10,2,189,4,1
5,1,1,4,0,1,8,2,238,4,1
5,0,1,3,0,1,10,2,164,4,1
11,1,0,4,0,0,10,0,117,4,1
9,1,0,4,0,1,18,2,176,1,1
0,0,0,3,0,0,20,2,193,1,1
10,1,0,4,2,1,2,0,77,1,1
2,1,0,6,0,1,8,0,212,2,1
0,1,0,3,0,1,3,0,173,1,1
5,1,1,5,0,0,20,0,77,1,1
2,1,7,7,0,1,7,0,13,1,1
9,0,0,4,0,1,2,0,242,1,1
0,1,3,6,0,0,20,0,242,1,1
10,1,0,2,0,0,8,0,195,1,1
8,1,0,4,0,1,15,0,18,3,1
0,0,0,2,2,1,2,2,49,4,1
10,1,0,4,0,0,8,2,77,1,1
7,1,7,6,0,0,7,0,43,2,1
10,1,1,5,0,0,8,0,47,0,1
4,0,1,4,0,0,11,2,164,4,1
8,1,0,5,0,1,8,0,173,1,1
5,1,1,1,2,1,2,2,169,2,1
13,1,0,3,2,1,2,2,176,1,1
0,0,1,4,0,1,15,2,177,1,1
9,1,0,3,0,1,18,0,206,4,1
5,0,1,3,0,1,20,0,242,1,1
0,0,1,5,0,0,6,2,238,4,1
9,0,1,5,0,0,10,2,173,1,1
0,0,2,3,0,1,14,2,173,1,1
0,0,0,4,0,0,10,2,108,4,1
4,0,1,6,0,1,10,2,164,4,1
11,1,0,5,0,1,10,0,108,4,1
12,1,0,3,0,0,8,0,193,1,1
5,0,1,1,0,1,8,2,163,2,1
6,1,0,2,0,1,7,2,120,6,1
0,1,1,5,0,0,8,0,23,1,1
10,1,4,6,1,1,2,0,158,6,1
8,1,1,6,0,1,2,0,19,1,1
1,0,6,5,0,1,17,0,150,4,1
1,1,7,6,0,0,10,2,143,4,1
11,0,0,2,1,0,2,2,168,0,1
0,1,1,5,0,1,10,0,164,4,1
12,1,0,5,0,0,15,2,122,3,1
2,1,7,6,0,0,14,0,182,3,1
0,1,3,7,0,1,15,0,242,1,1
11,1,0,5,0,0,7,0,210,0,1
12,1,4,6,1,0,0,0,59,6,1
0,1,0,6,5,1,2,0,176,1,1
13,1,0,5,5,0,1,0,129,6,1
2,1,0,6,0,1,14,2,77,1,1
12,1,0,4,2,1,2,0,176,1,1
0,1,1,5,0,1,18,0,242,1,1
0,0,0,3,0,1,10,0,77,1,1
2,0,1,6,0,1,7,2,120,6,1
7,1,1,5,0,0,15,0,205,3,1
7,1,1,4,0,1,10,0,193,1,1
6,0,0,4,0,1,15,0,193,1,1
9,1,0,4,0,1,18,0,194,4,1
0,1,1,5,0,0,8,0,166,2,1
0,0,0,2,5,0,0,2,57,1,1
10,1,0,4,2,0,2,0,73,2,1
8,1,0,4,0,0,10,2,117,4,1
4,0,1,5,0,1,14,0,236,3,1
8,1,1,6,0,0,10,0,77,1,1
5,0,1,2,0,1,7,0,13,1,1
12,0,0,5,0,0,8,2,67,2,1
12,0,0,3,0,1,8,0,2,1,1
1,1,6,5,0,0,10,0,77,1,1
0,1,0,6,0,1,18,0,80,1,1
0,0,0,2,2,1,2,2,176,1,1
0,0,0,4,0,1,8,2,43,2,1
8,0,0,2,0,0,14,0,2,1,1
11,1,0,6,0,1,8,0,212,2,1
0,0,0,2,0,1,2,2,19,1,1
12,1,0,4,0,0,2,2,213,0,1
12,1,4,6,0,1,8,0,212,2,1
11,1,0,4,0,0,20,1,114,4,1
0,1,0,4,1,1,2,2,181,1,1
8,0,1,5,0,0,17,2,150,4,1
9,1,0,5,0,1,8,2,43,2,1
7,1,1,5,0,0,18,2,206,4,1
5,0,1,4,0,1,10,2,242,1,1
0,1,3,7,0,0,2,0,219,5,1
0,0,0,4,0,1,8,2,13,1,1
8,0,0,3,0,0,7,2,174,0,1
6,1,1,3,0,1,10,0,220,1,1
0,0,1,3,0,0,8,0,105,2,1
11,1,0,4,0,0,14,2,22,3,1
12,0,0,2,5,0,0,0,12,6,1
13,1,0,3,0,1,8,2,151,2,1
12,1,0,4,0,0,10,0,2,1,1
0,1,3,5,0,1,2,0,143,4,1
10,1,4,7,0,0,10,0,80,1,1
13,1,0,4,1,1,1,2,28,6,1
8,0,1,2,0,1,15,0,25,3,1
13,0,4,7,5,1,1,0,25,3,1
12,1,0,5,0,0,8,0,73,2,1
6,1,7,6,0,0,10,0,77,1,1
0,0,0,3,0,0,11,2,43,2,1
9,1,0,3,0,1,8,2,231,2,1
6,0,1,2,0,0,6,2,61,4,1
0,0,0,3,0,0,11,2,193,1,1
13,1,0,6,0,1,17,2,150,4,1
11,1,0,6,0,1,6,0,176,1,1
9,1,0,5,0,1,20,2,58,4,1
5,0,1,5,0,0,14,2,77,1,1
1,1,3,6,0,0,2,0,197,6,1
12,0,0,2,5,1,1,0,173,1,1
10,0,0,3,0,1,20,2,123,4,1
0,0,0,1,5,1,0,0,2,1,1
0,1,1,3,0,1,10,2,19,1,1
10,1,0,4,0,0,18,0,206,4,1
0,1,8,1,5,1,2,2,59,6,1
0,1,1,5,0,0,7,2,166,2,1
0,1,0,5,0,1,20,0,176,1,1
5,0,0,2,0,1,12,0,77,1,1
11,1,0,2,0,1,8,2,181,1,1
9,1,0,3,0,0,14,2,3,2,1
7,1,1,5,0,0,20,0,222,1,1
11,1,0,5,0,1,20,0,173,1,1
8,0,0,5,0,0,15,0,77,1,1
11,1,0,5,0,1,10,0,77,1,1
4,0,1,4,0,0,17,2,55,3,1
0,0,2,6,0,0,8,2,67,2,1
6,1,1,4,2,1,2,0,19,1,1
7,1,0,6,0,1,7,0,134,0,1
1,1,7,6,0,0,8,2,163,2,1
4,0,1,3,0,1,8,2,216,2,1
10,1,0,4,0,0,14,2,77,1,1
11,1,0,4,0,1,8,1,77,1,1
7,0,0,5,0,0,7,2,210,0,1
9,1,4,6,0,0,10,0,189,4,1
6,1,4,6,0,1,20,0,179,4,1
11,1,0,4,0,0,20,0,80,1,1
