Matric_Aggregate_Group,FTEN,Matric_Status_Code,Age_Group,Race,Gender,Home_Language,Employment,Magisterial_District,Region,Class
Others,F,DEGR,24_25     ,African,F,NORTHERN SOTHO,Unemployed,Others,North Eastern,1
0000_0000,Others,DIPL,29_34     ,African,M,ISIXHOSA,Employed,Others,Eastern Cape,1
0000_0000,F,Others,18_19     ,African,M,ISIZULU,Employed,PINETOWN,KwaZulu-Natal,1
0000_0000,T,DEGR,Others,African,M,ISIZULU,Student,JOHANNESBURG,Gauteng,1
1101_1150,T,DEGR,26_28     ,Others,F,SETSWANA,Employed,Others,Midlands,1
1001_1050,T,DIPL,24_25     ,African,Others,ISIZULU,Unemployed,Others,KwaZulu-Natal,1
1051_1100,T,DEGR,29_34     ,African,F,Others,Employed,UMLAZI,KwaZulu-Natal,1
1001_1050,F,DEGR,26_28     ,African,F,XITSONGA,Others,Others,North Eastern,1
1101_1150,T,DIPL,22_23     ,African,M,SESOTHO,Employed,Others,North Eastern,1
0000_0000,T,DIPL,18_19     ,African,F,SESOTHO,Employed,JOHANNESBURG,Others,1
0851_0900,F,DIPL,26_28     ,African,F,ISIZULU,Employed,Others,KwaZulu-Natal,2
0951_1000,T,DIPL,29_34     ,African,F,NORTHERN SOTHO,Unemployed,Others,North Eastern,1
1101_1150,T,DEGR,26_28     ,African,F,SISWATI,Unemployed,WITBANK,North Eastern,1
0000_0000,F,HCER,29_34     ,African,M,SESOTHO,Unemployed,Others,Gauteng,1
1151_1200,F,DEGR,22_23     ,African,M,ISIZULU,Unemployed,Others,KwaZulu-Natal,1
0901_0950,T,SENR,35_40     ,African,M,ISINDEBELE,Employed,PRETORIA,Gauteng,1
1201_1300,T,DEGR,24_25     ,African,M,NORTHERN SOTHO,Employed,Others,North Eastern,1
1201_1300,T,DEGR,24_25     ,African,M,ISIXHOSA,Unemployed,Others,Gauteng,1
0001_0600,T,DIPL,29_34     ,African,M,SESOTHO,Unemployed,Others,Midlands,1
0000_0000,T,DEGR,22_23     ,African,F,ISINDEBELE,Employed,JOHANNESBURG,Gauteng,1
0000_0000,F,DEGR,18_19     ,White,M,AFRIKAANS,Employed,BOKSBURG,Gauteng,1
1051_1100,T,DEGR,26_28     ,African,M,ISIZULU,Employed,JOHANNESBURG,Gauteng,1
0000_0000,T,Others,29_34     ,African,M,NORTHERN SOTHO,Employed,JOHANNESBURG,Gauteng,1
0901_0950,T,MATR,29_34     ,African,M,ISIZULU,Employed,BOKSBURG,Gauteng,1
0000_0000,T,DEGR,26_28     ,Indian,M,ENGLISH,Employed,JOHANNESBURG,Gauteng,1
0001_0600,F,SENR,29_34     ,African,M,ISIZULU,Employed,DURBAN,KwaZulu-Natal,1
0901_0950,T,DIPL,26_28     ,African,M,NORTHERN SOTHO,Unemployed,Others,North Eastern,1
0901_0950,T,DIPL,24_25     ,African,M,ISIZULU,Unemployed,WITBANK,North Eastern,1
0901_0950,F,DIPL,22_23     ,African,M,NORTHERN SOTHO,Unemployed,PIETERSBURG,North Eastern,1
1201_1300,T,DEGR,24_25     ,African,F,NORTHERN SOTHO,Employed,Others,North Eastern,1
1101_1150,T,DEGR,24_25     ,African,M,TSHIVENDA,Unemployed,RANDBURG,Gauteng,1
0000_0000,F,DEGR,22_23     ,African,F,XITSONGA,Unemployed,SOSHANGUWE,Gauteng,1
