Matric_Aggregate_Group;FTEN;Matric_Status_Code;Age_Group;Race;Gender;Home_Language;Employment;Magisterial_District;Region;Class
1201_1300;F;DEGR;24_25     ;African;F;NORTHERN SOTHO;Unemployed;GIYANI;North Eastern;20
0000_0000;T;DIPL;29_34     ;African;M;ISIXHOSA;Employed;ALIWAL NORTH;Eastern Cape;30
0000_0000;F;DIPL;18_19     ;African;M;ISIZULU;Employed;PINETOWN;KwaZulu-Natal;1
0000_0000;T;DEGR;22_23     ;African;M;ISIZULU;Student;JOHANNESBURG;Gauteng;1
1101_1150;T;DEGR;26_28     ;African;F;SETSWANA;Employed;PHOKWANI;Midlands;1
1001_1050;T;DIPL;24_25     ;African;F;ISIZULU;Unemployed;KLIPRIVER;KwaZulu-Natal;1
1051_1100;T;DEGR;29_34     ;African;F;ISIZULU;Employed;UMLAZI;KwaZulu-Natal;1
1001_1050;F;DEGR;26_28     ;African;F;XITSONGA;Unemployed;SESHEGO;North Eastern;1
1101_1150;T;DIPL;22_23     ;African;M;SESOTHO;Employed;MOKERONG;North Eastern;1
0000_0000;T;DIPL;18_19     ;African;F;SESOTHO;Employed;JOHANNESBURG;Gauteng;1
0851_0900;F;DIPL;26_28     ;African;F;ISIZULU;Employed;MAHLABATINI;KwaZulu-Natal;1
0951_1000;T;DIPL;29_34     ;African;F;NORTHERN SOTHO;Unemployed;SESHEGO;North Eastern;1
1101_1150;T;DEGR;26_28     ;African;F;SISWATI;Unemployed;WITBANK;North Eastern;1
0000_0000;F;HCER;29_34     ;African;M;SESOTHO;Unemployed;VANDERBIJLPARK;Gauteng;1
1151_1200;F;DEGR;22_23     ;African;M;ISIZULU;Unemployed;UTRECHT;KwaZulu-Natal;1
0901_0950;T;SENR;35_40     ;African;M;ISINDEBELE;Employed;PRETORIA;Gauteng;1
1201_1300;T;DEGR;24_25     ;African;M;NORTHERN SOTHO;Employed;WATERBERG;North Eastern;1
1201_1300;T;DEGR;24_25     ;African;M;ISIXHOSA;Unemployed;BRAKPAN;Gauteng;1
0001_0600;T;DIPL;29_34     ;African;M;SESOTHO;Unemployed;BLOEMFONTEIN;Midlands;1
0000_0000;T;DEGR;22_23     ;African;F;ISINDEBELE;Employed;JOHANNESBURG;Gauteng;1
0000_0000;F;DEGR;18_19     ;White;M;AFRIKAANS;Employed;BOKSBURG;Gauteng;1
1051_1100;T;DEGR;26_28     ;African;M;ISIZULU;Employed;JOHANNESBURG;Gauteng;1
0000_0000;T;ONBK;29_34     ;African;M;NORTHERN SOTHO;Employed;JOHANNESBURG;Gauteng;1
0901_0950;T;MATR;29_34     ;African;M;ISIZULU;Employed;BOKSBURG;Gauteng;1
0000_0000;T;DEGR;26_28     ;Indian;M;ENGLISH;Employed;JOHANNESBURG;Gauteng;1
0001_0600;F;SENR;29_34     ;African;M;ISIZULU;Employed;DURBAN;KwaZulu-Natal;1
0901_0950;T;DIPL;26_28     ;African;M;NORTHERN SOTHO;Unemployed;SESHEGO;North Eastern;1
0901_0950;T;DIPL;24_25     ;African;M;ISIZULU;Unemployed;WITBANK;North Eastern;1
0901_0950;F;DIPL;22_23     ;African;M;NORTHERN SOTHO;Unemployed;PIETERSBURG;North Eastern;1
1201_1300;T;DEGR;24_25     ;African;F;NORTHERN SOTHO;Employed;MDUTJANA;North Eastern;1
1101_1150;T;DEGR;24_25     ;African;M;TSHIVENDA;Unemployed;RANDBURG;Gauteng;1
0000_0000;F;DEGR;22_23     ;African;F;XITSONGA;Unemployed;SOSHANGUWE;Gauteng;1
1151_1200;T;DEGR;24_25     ;Indian;M;ENGLISH;Employed;JOHANNESBURG;Gauteng;1
0601_0800;T;DEGR;29_34     ;African;M;ISIZULU;Employed;UMLAZI;KwaZulu-Natal;1
0000_0000;T;DEGR;22_23     ;African;M;FRENCH;Employed;PRETORIA;Gauteng;1
0901_0950;T;DIPL;26_28     ;African;F;XITSONGA;Employed;JOHANNESBURG;Gauteng;1
0601_0800;T;SENR;35_40     ;African;M;ISIXHOSA;Employed;BENONI;Gauteng;1
1101_1150;F;DEGR;24_25     ;African;M;ENGLISH;Employed;WONDERBOOM;Gauteng;1
0000_0000;T;KWAL;29_34     ;African;F;XITSONGA;Employed;WONDERBOOM;Gauteng;1
1151_1200;T;DEGR;20_21     ;African;F;ISIZULU;Employed;SPRINGS;Gauteng;1
1051_1100;T;DEGR;24_25     ;African;M;SETSWANA;Employed;BLOEMFONTEIN;Midlands;1
0000_0000;F;DEGR;20_21     ;Indian;M;ENGLISH;Unemployed;ERMELO;North Eastern;1
1151_1200;T;DEGR;24_25     ;African;F;ISIZULU;Unemployed;JOHANNESBURG;Gauteng;1
1001_1050;T;SENR;29_34     ;African;F;ISIXHOSA;Employed;DURBAN;KwaZulu-Natal;1
1151_1200;T;DIPL;26_28     ;African;F;ISIZULU;Employed;ELLIOTDALE;Eastern Cape;1
0851_0900;F;DIPL;24_25     ;African;F;OTHER AFRICAN LANGUAGES;Unemployed;PIETERSBURG;North Eastern;1
1051_1100;T;DEGR;26_28     ;African;M;ISIZULU;Employed;PRETORIA;Gauteng;1
0901_0950;T;DIPL;18_19     ;Indian;M;ENGLISH;Unemployed;PORT SHEPSTONE;KwaZulu-Natal;1
1401_3000;T;DEGR;22_23     ;Indian;M;ENGLISH;Unemployed;RANDBURG;Gauteng;1
0000_0000;F;DIPL;24_25     ;African;M;SETSWANA;Unemployed;RANDFONTEIN;Gauteng;1
1101_1150;T;DEGR;22_23     ;African;M;TSHIVENDA;Employed;THOHOYANDOU;North Eastern;1
0901_0950;F;DIPL;22_23     ;African;M;XITSONGA;Employed;WONDERBOOM;Gauteng;1
0000_0000;F;DIPL;26_28     ;African;F;ISINDEBELE;Unemployed;WITBANK;North Eastern;1
1101_1150;F;DIPL;26_28     ;African;F;NORTHERN SOTHO;Unemployed;PRETORIA;Gauteng;1
0000_0000;F;HCER;22_23     ;African;M;SESOTHO;Unemployed;PRETORIA;Gauteng;1
0000_0000;F;DEGR;24_25     ;African;F;NORTHERN SOTHO;Unemployed;LYDENBURG;North Eastern;1
0851_0900;F;DIPL;29_34     ;African;M;NORTHERN SOTHO;Unemployed;PIETERSBURG;North Eastern;1
1201_1300;T;DEGR;26_28     ;African;M;NORTHERN SOTHO;Employed;LYDENBURG;North Eastern;1
1301_1400;T;DEGR;22_23     ;African;F;ISIZULU;Employed;SOSHANGUWE;Gauteng;1
0901_0950;F;DIPL;18_19     ;African;M;ISIZULU;Unemployed;PIETERMARITZBURG;KwaZulu-Natal;1
0951_1000;T;DEGR;20_21     ;African;M;ISIXHOSA;Unemployed;MITCHELLS PLAIN;Western Cape;1
0000_0000;T;DIPL;26_28     ;African;F;ISIZULU;Employed;BRAKPAN;Gauteng;1
